type,value,chembl,target
IC50,8.24,CHEMBL2180943,3
IC50,8.74,CHEMBL282189,3
IC50,8.60,CHEMBL33627,3
IC50,8.00,CHEMBL321229,3
IC50,4.70,CHEMBL313143,3
IC50,5.52,CHEMBL516604,3
IC50,6.89,CHEMBL282528,3
IC50,4.36,CHEMBL1779335,3
IC50,7.64,CHEMBL3978000,3
IC50,9.54,CHEMBL67064,3
IC50,8.08,CHEMBL378542,3
IC50,7.70,CHEMBL430199,3
IC50,10.22,CHEMBL1916489,3
IC50,7.24,CHEMBL4100445,3
IC50,7.30,CHEMBL4079069,3
IC50,8.70,CHEMBL541830,3
IC50,4.48,CHEMBL432659,3
IC50,8.32,CHEMBL2180947,3
IC50,9.40,CHEMBL1094399,3
IC50,7.72,CHEMBL72812,3
IC50,8.85,CHEMBL41236,3
IC50,7.58,CHEMBL3298786,3
IC50,7.64,CHEMBL3962142,3
IC50,8.77,CHEMBL325323,3
IC50,5.87,CHEMBL1650882,3
IC50,6.46,CHEMBL195768,3
IC50,8.22,CHEMBL393440,3
IC50,7.43,CHEMBL4279202,3
IC50,4.19,CHEMBL45687,3
IC50,8.19,CHEMBL362938,3
IC50,8.68,CHEMBL79579,3
IC50,6.49,CHEMBL51814,3
IC50,8.89,CHEMBL442348,3
IC50,6.23,CHEMBL303917,3
IC50,8.55,CHEMBL26775,3
IC50,5.11,CHEMBL3908967,3
IC50,7.20,CHEMBL116276,3
IC50,4.58,CHEMBL70951,3
IC50,8.30,CHEMBL295224,3
IC50,9.15,CHEMBL245922,3
IC50,7.48,CHEMBL245842,3
IC50,6.42,CHEMBL1650695,3
IC50,5.51,CHEMBL3960150,3
IC50,8.28,CHEMBL365944,3
IC50,5.72,CHEMBL125992,3
IC50,7.70,CHEMBL359924,3
IC50,8.01,CHEMBL1094098,3
IC50,9.15,CHEMBL1339,3
IC50,8.48,CHEMBL365358,3
IC50,7.19,CHEMBL3950140,3
IC50,4.92,CHEMBL174270,3
IC50,5.57,CHEMBL187436,3
IC50,5.69,CHEMBL1916125,3
IC50,7.565,CHEMBL446663,3
IC50,8.53,CHEMBL1095455,3
IC50,8.40,CHEMBL34628,3
IC50,4.62,CHEMBL144545,3
IC50,9.85,CHEMBL569492,3
IC50,5.92,CHEMBL3979746,3
IC50,6.00,CHEMBL542813,3
IC50,7.48,CHEMBL193645,3
IC50,8.00,CHEMBL456552,3
IC50,9.05,CHEMBL309849,3
IC50,6.16,CHEMBL474228,3
IC50,8.54,CHEMBL2262622,3
IC50,10.00,CHEMBL567471,3
IC50,7.92,CHEMBL379222,3
IC50,8.70,CHEMBL4539785,3
IC50,5.48,CHEMBL363231,3
IC50,7.50,CHEMBL372917,3
IC50,5.66,CHEMBL145159,3
IC50,5.46,CHEMBL125441,3
IC50,8.02,CHEMBL4214353,3
IC50,6.43,CHEMBL4644729,3
IC50,7.16,CHEMBL42796,3
IC50,9.05,CHEMBL280525,3
IC50,7.90,CHEMBL4281590,3
IC50,8.92,CHEMBL1094490,3
IC50,7.00,CHEMBL86602,3
IC50,5.21,CHEMBL303671,3
IC50,9.28,CHEMBL4217826,3
IC50,7.10,CHEMBL4207836,3
IC50,5.24,CHEMBL3914590,3
IC50,7.41,CHEMBL3962031,3
IC50,7.88,CHEMBL33381,3
IC50,5.40,CHEMBL27627,3
IC50,8.52,CHEMBL86512,3
IC50,5.68,CHEMBL383474,3
IC50,6.41,CHEMBL385683,3
IC50,7.24,CHEMBL284258,3
IC50,8.89,CHEMBL3917964,3
IC50,9.10,CHEMBL3935122,3
IC50,6.13,CHEMBL189,3
IC50,10.30,CHEMBL1916293,3
IC50,7.04,CHEMBL140493,3
IC50,7.40,CHEMBL1094263,3
IC50,4.96,CHEMBL122059,3
IC50,8.80,CHEMBL2180945,3
IC50,7.03,CHEMBL86578,3
IC50,8.80,CHEMBL550007,3
IC50,8.81,CHEMBL4102913,3
IC50,7.66,CHEMBL280993,3
IC50,5.01,CHEMBL426946,3
IC50,8.28,CHEMBL22906,3
IC50,7.96,CHEMBL304161,3
IC50,7.00,CHEMBL431772,3
IC50,8.10,CHEMBL422104,3
IC50,8.70,CHEMBL416267,3
IC50,6.78,CHEMBL545749,3
IC50,9.28,CHEMBL4217054,3
IC50,4.54,CHEMBL1779447,3
IC50,4.44,CHEMBL118,3
IC50,8.00,CHEMBL4212445,3
IC50,8.77,CHEMBL540044,3
IC50,8.54,CHEMBL1928256,3
IC50,5.34,CHEMBL124544,3
IC50,7.09,CHEMBL4288548,3
IC50,8.48,CHEMBL591477,3
IC50,7.13,CHEMBL498486,3
IC50,6.70,CHEMBL193477,3
IC50,8.89,CHEMBL209157,3
IC50,4.40,CHEMBL12599,3
IC50,7.64,CHEMBL363411,3
IC50,8.96,CHEMBL2112009,3
IC50,7.82,CHEMBL196142,3
IC50,6.40,CHEMBL3703686,3
IC50,5.60,CHEMBL45284,3
IC50,4.50,CHEMBL124539,3
IC50,10.10,CHEMBL1098141,3
IC50,7.02,CHEMBL188292,3
IC50,7.12,CHEMBL3703696,3
IC50,4.94,CHEMBL10,3
IC50,5.49,CHEMBL364482,3
IC50,9.49,CHEMBL584285,3
IC50,4.27,CHEMBL144978,3
IC50,6.14,CHEMBL117108,3
IC50,7.27,CHEMBL115152,3
IC50,4.71,CHEMBL184945,3
IC50,9.62,CHEMBL566375,3
IC50,6.85,CHEMBL464341,3
IC50,5.91,CHEMBL363734,3
IC50,7.00,CHEMBL377850,3
IC50,7.92,CHEMBL1650690,3
IC50,6.16,CHEMBL3703683,3
IC50,8.22,CHEMBL42172,3
IC50,5.73,CHEMBL1916091,3
IC50,5.21,CHEMBL188332,3
IC50,7.16,CHEMBL467593,3
IC50,4.13,CHEMBL1095583,3
IC50,9.00,CHEMBL1928263,3
IC50,8.18,CHEMBL2180941,3
IC50,7.22,CHEMBL42435,3
IC50,4.58,CHEMBL340289,3
IC50,5.26,CHEMBL331434,3
IC50,6.38,CHEMBL3360416,3
IC50,9.60,CHEMBL567469,3
IC50,5.07,CHEMBL185304,3
IC50,9.17,CHEMBL4213174,3
IC50,8.26,CHEMBL315477,3
IC50,8.41,CHEMBL23992,3
IC50,7.97,CHEMBL1928273,3
IC50,7.07,CHEMBL3703687,3
IC50,8.79,CHEMBL4455861,3
IC50,6.19,CHEMBL190364,3
IC50,8.46,CHEMBL563637,3
IC50,5.77,CHEMBL560116,3
IC50,8.74,CHEMBL1928249,3
IC50,5.47,CHEMBL263749,3
IC50,6.16,CHEMBL193059,3
IC50,5.96,CHEMBL1650877,3
IC50,7.24,CHEMBL3890386,3
IC50,7.15,CHEMBL378255,3
IC50,8.70,CHEMBL245649,3
IC50,7.32,CHEMBL488322,3
IC50,8.93,CHEMBL569265,3
IC50,10.00,CHEMBL298295,3
IC50,6.92,CHEMBL3955289,3
IC50,8.07,CHEMBL4289291,3
IC50,8.79,CHEMBL4214877,3
IC50,8.40,CHEMBL298282,3
IC50,7.55,CHEMBL247285,3
IC50,8.93,CHEMBL567255,3
IC50,5.70,CHEMBL123364,3
IC50,7.820416666666666666666666667,CHEMBL1963681,3
IC50,7.00,CHEMBL464131,3
IC50,5.04,CHEMBL114693,3
IC50,4.28,CHEMBL91064,3
IC50,9.44,CHEMBL1916477,3
IC50,5.92,CHEMBL1650863,3
IC50,6.28,CHEMBL3703697,3
IC50,7.30,CHEMBL18744,3
IC50,8.04,CHEMBL382440,3
IC50,6.36,CHEMBL436402,3
IC50,7.46,CHEMBL3949413,3
IC50,4.74,CHEMBL355748,3
IC50,7.96,CHEMBL2414310,3
IC50,8.70,CHEMBL3654373,3
IC50,6.26,CHEMBL392752,3
IC50,6.94,CHEMBL194010,3
IC50,5.10,CHEMBL92491,3
IC50,9.66,CHEMBL1916301,3
IC50,7.36,CHEMBL3897643,3
IC50,5.07,CHEMBL188677,3
IC50,8.00,CHEMBL169843,3
IC50,9.49,CHEMBL245323,3
IC50,4.52,CHEMBL329876,3
IC50,7.47,CHEMBL561088,3
IC50,4.20,CHEMBL121831,3
IC50,5.22,CHEMBL417477,3
IC50,5.92,CHEMBL306426,3
IC50,5.51,CHEMBL197153,3
IC50,7.92,CHEMBL3084583,3
IC50,7.30,CHEMBL377563,3
IC50,5.40,CHEMBL122093,3
IC50,7.32,CHEMBL4217821,3
IC50,7.14,CHEMBL542707,3
IC50,6.52,CHEMBL1650680,3
IC50,7.47,CHEMBL246264,3
IC50,5.91,CHEMBL85139,3
IC50,8.64,CHEMBL193989,3
IC50,8.33,CHEMBL3971214,3
IC50,6.25,CHEMBL1085374,3
IC50,9.14,CHEMBL1098114,3
IC50,4.13,CHEMBL184903,3
IC50,7.80,CHEMBL3401755,3
IC50,9.00,CHEMBL361736,3
IC50,7.70,CHEMBL344630,3
IC50,8.68,CHEMBL280624,3
IC50,8.30,CHEMBL434135,3
IC50,9.125,CHEMBL282515,3
IC50,5.48,CHEMBL3921118,3
IC50,8.54,CHEMBL4281766,3
IC50,7.01,CHEMBL4278056,3
IC50,8.22,CHEMBL550817,3
IC50,8.19,CHEMBL1095760,3
IC50,8.34,CHEMBL559889,3
IC50,9.21,CHEMBL282709,3
IC50,9.89,CHEMBL569264,3
IC50,7.77,CHEMBL363668,3
IC50,7.58,CHEMBL245850,3
IC50,10.15,CHEMBL551052,3
IC50,6.04,CHEMBL1086110,3
IC50,7.33,CHEMBL3931479,3
IC50,7.17,CHEMBL196830,3
IC50,8.68,CHEMBL444046,3
IC50,4.66,CHEMBL91632,3
IC50,6.07,CHEMBL555171,3
IC50,9.52,CHEMBL1098055,3
IC50,7.50,CHEMBL2180659,3
IC50,5.28,CHEMBL466068,3
IC50,7.85,CHEMBL555218,3
IC50,7.44,CHEMBL552025,3
IC50,4.54,CHEMBL1097216,3
IC50,5.21,CHEMBL3918115,3
IC50,6.82,CHEMBL1650677,3
