type,value,chembl,target
IC50,7.04,CHEMBL2177629,8
IC50,8.90,CHEMBL3933733,8
IC50,6.96,CHEMBL1241299,8
IC50,7.25,CHEMBL434335,8
IC50,6.82,CHEMBL3969764,8
IC50,9.10875,CHEMBL2324925,8
IC50,8.15,CHEMBL3910823,8
IC50,7.08,CHEMBL559826,8
IC50,5.64,CHEMBL3780971,8
IC50,8.7425,CHEMBL4108652,8
IC50,6.70,CHEMBL1242378,8
IC50,8.30,CHEMBL4113564,8
IC50,7.70,CHEMBL211508,8
IC50,7.89,CHEMBL3936467,8
IC50,8.15,CHEMBL3894450,8
IC50,8.83,CHEMBL3986132,8
IC50,9.00,CHEMBL3949052,8
IC50,7.89,CHEMBL3939263,8
IC50,4.40,CHEMBL3917521,8
IC50,9.40,CHEMBL3891752,8
IC50,4.52,CHEMBL2312652,8
IC50,9.74,CHEMBL2347727,8
IC50,4.60,CHEMBL3781939,8
IC50,7.41,CHEMBL2347749,8
IC50,5.62,CHEMBL3582441,8
IC50,9.19,CHEMBL4637502,8
IC50,8.40,CHEMBL3953095,8
IC50,8.28,CHEMBL3902696,8
IC50,5.31,CHEMBL1630110,8
IC50,8.575,CHEMBL3945801,8
IC50,5.77,CHEMBL1242029,8
IC50,8.29,CHEMBL2177648,8
IC50,8.785,CHEMBL4109606,8
IC50,8.52,CHEMBL3968914,8
IC50,5.98,CHEMBL509032,8
IC50,4.46,CHEMBL1241863,8
IC50,7.66,CHEMBL565372,8
IC50,7.89,CHEMBL4110930,8
IC50,6.12,CHEMBL1242755,8
IC50,5.71,CHEMBL1762110,8
IC50,7.82,CHEMBL2347714,8
IC50,8.85,CHEMBL3939870,8
IC50,8.63,CHEMBL452563,8
IC50,8.265,CHEMBL3935043,8
IC50,8.51,CHEMBL4106490,8
IC50,8.56,CHEMBL454611,8
IC50,7.80,CHEMBL4111182,8
IC50,8.22,CHEMBL3957831,8
IC50,8.255,CHEMBL3898258,8
IC50,4.30,CHEMBL1241391,8
IC50,7.745,CHEMBL1784641,8
IC50,6.14,CHEMBL3736306,8
IC50,6.63,CHEMBL3959105,8
IC50,5.885,CHEMBL294692,8
IC50,4.82,CHEMBL3218001,8
IC50,7.46,CHEMBL3974522,8
IC50,6.52,CHEMBL2324927,8
IC50,7.446666666666666666666666667,CHEMBL3903302,8
IC50,8.74,CHEMBL3908533,8
IC50,5.235,CHEMBL293803,8
IC50,6.94,CHEMBL3823861,8
IC50,7.05,CHEMBL3805891,8
IC50,6.245,CHEMBL2058538,8
IC50,7.00,CHEMBL56904,8
IC50,4.30,CHEMBL1241772,8
IC50,5.75,CHEMBL4522850,8
IC50,7.96,CHEMBL3915183,8
IC50,5.10,CHEMBL1241858,8
IC50,5.24,CHEMBL554084,8
IC50,5.22,CHEMBL1630112,8
IC50,7.07,CHEMBL1873475,8
IC50,8.336666666666666666666666667,CHEMBL3954214,8
IC50,8.09,CHEMBL576218,8
IC50,8.44,CHEMBL3950645,8
IC50,6.33,CHEMBL272198,8
IC50,5.40,CHEMBL1242203,8
IC50,5.10,CHEMBL1240545,8
IC50,6.24,CHEMBL2333603,8
IC50,7.755,CHEMBL1784635,8
IC50,6.77,CHEMBL1173201,8
IC50,5.25,CHEMBL3355482,8
IC50,6.70,CHEMBL2347748,8
IC50,8.23,CHEMBL4115154,8
IC50,6.54,CHEMBL1171960,8
IC50,6.53,CHEMBL1242567,8
IC50,5.00,CHEMBL551229,8
IC50,6.19,CHEMBL9514,8
IC50,8.15,CHEMBL3902824,8
IC50,8.2375,CHEMBL1171086,8
IC50,6.46,CHEMBL293991,8
IC50,5.70,CHEMBL1242119,8
IC50,8.9675,CHEMBL4439424,8
IC50,8.85,CHEMBL4109082,8
IC50,8.40,CHEMBL3962532,8
IC50,6.08,CHEMBL1242660,8
IC50,5.00,CHEMBL3800138,8
IC50,5.49,CHEMBL3347277,8
IC50,9.35,CHEMBL3965179,8
IC50,6.82,CHEMBL377463,8
IC50,5.95,CHEMBL2408502,8
IC50,4.30,CHEMBL3824215,8
IC50,5.51,CHEMBL231633,8
IC50,8.635,CHEMBL3951432,8
IC50,7.22,CHEMBL379987,8
IC50,8.44,CHEMBL2347712,8
IC50,9.96,CHEMBL2347710,8
IC50,9.22,CHEMBL3910619,8
IC50,8.48,CHEMBL3952900,8
IC50,5.82,CHEMBL278103,8
IC50,7.648333333333333333333333333,CHEMBL1214141,8
IC50,6.85,CHEMBL536983,8
IC50,8.5925,CHEMBL3937525,8
IC50,5.665,CHEMBL2403817,8
IC50,6.20,CHEMBL488659,8
IC50,8.15,CHEMBL209753,8
IC50,5.42,CHEMBL119977,8
IC50,8.445,CHEMBL4115097,8
IC50,5.00,CHEMBL3823543,8
IC50,8.52,CHEMBL4114635,8
IC50,7.05,CHEMBL2177636,8
IC50,8.00,CHEMBL3910059,8
IC50,4.95,CHEMBL2408497,8
IC50,4.00,CHEMBL1241864,8
IC50,8.82,CHEMBL3983928,8
IC50,8.39,CHEMBL4107596,8
IC50,9.10,CHEMBL3926537,8
IC50,5.92,CHEMBL1242846,8
IC50,8.44,CHEMBL565366,8
IC50,8.82,CHEMBL4108311,8
IC50,6.11,CHEMBL1241300,8
IC50,8.595,CHEMBL4110570,8
IC50,7.585,CHEMBL2324930,8
IC50,4.79,CHEMBL2312304,8
IC50,8.505,CHEMBL3962900,8
IC50,6.48,CHEMBL2177643,8
IC50,5.64,CHEMBL3347650,8
IC50,7.92,CHEMBL4164448,8
IC50,6.22,CHEMBL57443,8
IC50,9.05,CHEMBL4108373,8
IC50,4.84,CHEMBL1242569,8
IC50,9.40,CHEMBL4113492,8
IC50,7.24,CHEMBL1242662,8
IC50,5.22,CHEMBL421929,8
IC50,5.35,CHEMBL4538423,8
IC50,8.52,CHEMBL4107599,8
IC50,7.64,CHEMBL2403875,8
IC50,5.34,CHEMBL2070081,8
IC50,7.68,CHEMBL574059,8
IC50,6.78,CHEMBL1784626,8
IC50,8.72,CHEMBL3933211,8
IC50,8.225,CHEMBL1081312,8
IC50,7.7225,CHEMBL4108925,8
IC50,6.51,CHEMBL2336015,8
IC50,7.56,CHEMBL255863,8
IC50,6.09,CHEMBL455404,8
IC50,4.78,CHEMBL3781543,8
IC50,8.45,CHEMBL3971478,8
IC50,7.70,CHEMBL4062453,8
IC50,7.72,CHEMBL3347452,8
IC50,9.51,CHEMBL2347716,8
IC50,8.30,CHEMBL3977260,8
IC50,7.60,CHEMBL2177634,8
IC50,9.095,CHEMBL4107045,8
IC50,7.935,CHEMBL3963812,8
IC50,6.43,CHEMBL3824116,8
IC50,7.34,CHEMBL2347744,8
IC50,9.41,CHEMBL4642144,8
IC50,8.55,CHEMBL2347713,8
IC50,8.22,CHEMBL4108992,8
IC50,5.875,CHEMBL3736026,8
IC50,8.245,CHEMBL3899632,8
IC50,8.545,CHEMBL3216659,8
IC50,9.455,CHEMBL2316582,8
IC50,7.99,CHEMBL3919275,8
IC50,4.715,CHEMBL58421,8
IC50,6.00,CHEMBL460472,8
IC50,9.20,CHEMBL3916724,8
IC50,4.66,CHEMBL515432,8
IC50,6.10,CHEMBL21162,8
IC50,7.33,CHEMBL2347742,8
IC50,5.56,CHEMBL2408499,8
IC50,8.37,CHEMBL1242568,8
IC50,5.19,CHEMBL1242034,8
IC50,6.30,CHEMBL1241677,8
IC50,4.41,CHEMBL301845,8
IC50,7.6625,CHEMBL3986284,8
IC50,5.10,CHEMBL135592,9
IC50,7.08,CHEMBL3298000,9
IC50,7.28,CHEMBL2381505,9
IC50,6.72,CHEMBL1821870,9
IC50,7.03,CHEMBL3671558,9
IC50,5.61,CHEMBL1094835,9
IC50,7.00,CHEMBL2064393,9
IC50,5.27,CHEMBL309075,9
IC50,4.57,CHEMBL425074,9
IC50,7.85,CHEMBL513362,9
IC50,5.01,CHEMBL525527,9
IC50,6.55,CHEMBL505463,9
IC50,8.055,CHEMBL422292,9
IC50,7.76,CHEMBL1204261,9
IC50,6.065,CHEMBL3133908,9
IC50,9.52,CHEMBL3357644,9
IC50,6.42,CHEMBL3944095,9
IC50,5.85,CHEMBL4588486,9
IC50,8.205,CHEMBL76751,9
IC50,6.92,CHEMBL92398,9
IC50,8.03,CHEMBL357367,9
IC50,5.06,CHEMBL112925,9
IC50,7.26,CHEMBL1933083,9
IC50,4.97,CHEMBL3746564,9
IC50,6.15,CHEMBL242131,9
IC50,8.77,CHEMBL173498,9
IC50,4.61,CHEMBL591440,9
IC50,7.05,CHEMBL1945448,9
IC50,7.44,CHEMBL3671483,9
IC50,5.00,CHEMBL47660,9
IC50,7.91,CHEMBL1916891,9
IC50,7.50,CHEMBL3671524,9
IC50,5.036666666666666666666666667,CHEMBL4205469,9
IC50,5.94,CHEMBL1242659,9
IC50,5.56,CHEMBL77397,9
IC50,9.00,CHEMBL475768,9
IC50,5.38,CHEMBL109575,9
IC50,7.01,CHEMBL3087195,9
IC50,7.19,CHEMBL137364,9
IC50,7.48,CHEMBL392273,9
IC50,7.30,CHEMBL2325101,9
IC50,6.46,CHEMBL359660,9
IC50,7.38,CHEMBL3297897,9
IC50,9.01,CHEMBL203599,9
IC50,6.883333333333333333333333333,CHEMBL4098500,9
IC50,4.82,CHEMBL428690,9
IC50,7.87,CHEMBL3344220,9
IC50,5.10,CHEMBL309016,9
IC50,8.00,CHEMBL3671493,9
IC50,4.72,CHEMBL145266,9
IC50,5.39,CHEMBL56132,9
IC50,5.62,CHEMBL260861,9
IC50,5.16,CHEMBL311133,9
IC50,5.54,CHEMBL1240566,9
IC50,4.96,CHEMBL185327,9
IC50,5.19,CHEMBL1173601,9
IC50,7.54,CHEMBL3087196,9
IC50,4.59,CHEMBL3746980,9
IC50,6.82,CHEMBL3416612,9
IC50,7.60,CHEMBL3671574,9
IC50,5.426666666666666666666666667,CHEMBL4204937,9
IC50,7.03,CHEMBL335440,9
IC50,8.335,CHEMBL3923228,9
IC50,6.73,CHEMBL175513,9
IC50,5.33,CHEMBL484109,9
IC50,7.09,CHEMBL208144,9
IC50,6.24,CHEMBL1242198,9
IC50,8.505,CHEMBL162223,9
IC50,6.10,CHEMBL201307,9
IC50,5.68,CHEMBL2426284,9
IC50,5.14,CHEMBL101683,9
IC50,7.07,CHEMBL327127,9
IC50,5.366666666666666666666666667,CHEMBL56219,9
IC50,5.08,CHEMBL1828866,9
IC50,6.87,CHEMBL3671532,9
IC50,4.87,CHEMBL590877,9
IC50,7.11,CHEMBL178312,9
IC50,7.62,CHEMBL4284413,9
IC50,7.89,CHEMBL4113919,9
IC50,7.30,CHEMBL555321,9
IC50,6.33,CHEMBL310580,9
IC50,5.16,CHEMBL490775,9
IC50,7.38,CHEMBL205235,9
IC50,5.82,CHEMBL215055,9
IC50,7.36,CHEMBL402113,9
IC50,7.48,CHEMBL3891187,9
IC50,8.10,CHEMBL3897363,9
IC50,6.52,CHEMBL2325096,9
IC50,6.735,CHEMBL4212326,9
IC50,6.90,CHEMBL24828,9
IC50,7.17,CHEMBL245278,9
IC50,5.38,CHEMBL2047019,9
IC50,5.47,CHEMBL3604918,9
IC50,4.56,CHEMBL73820,9
IC50,5.00,CHEMBL142831,9
IC50,7.275,CHEMBL3977504,9
IC50,6.09,CHEMBL90541,9
IC50,5.54,CHEMBL384205,9
IC50,5.36,CHEMBL2347962,9
IC50,4.03,CHEMBL1087054,9
IC50,5.70,CHEMBL3353403,9
IC50,7.845,CHEMBL4288300,9
IC50,7.175,CHEMBL4570293,9
IC50,6.37,CHEMBL395883,9
IC50,7.00,CHEMBL3917951,9
IC50,7.25,CHEMBL115745,9
IC50,5.64,CHEMBL3787112,9
IC50,5.25,CHEMBL3741796,9
IC50,6.92,CHEMBL1683964,9
IC50,9.29,CHEMBL2031299,9
IC50,5.49,CHEMBL1221512,9
IC50,7.105,CHEMBL4445797,9
IC50,8.39,CHEMBL4098444,9
IC50,8.44,CHEMBL3763790,9
IC50,8.2275,CHEMBL4206716,9
IC50,7.29,CHEMBL202621,9
IC50,8.64,CHEMBL3898690,9
IC50,7.75,CHEMBL4102224,9
IC50,6.32,CHEMBL406845,9
IC50,5.96,CHEMBL4100075,9
IC50,6.83,CHEMBL4584651,9
IC50,8.54,CHEMBL2048906,9
IC50,7.323333333333333333333333333,CHEMBL4282506,9
IC50,5.31,CHEMBL330882,9
IC50,5.40,CHEMBL172449,9
IC50,8.40,CHEMBL3895411,9
IC50,5.47,CHEMBL477197,9
IC50,5.61,CHEMBL169657,9
IC50,6.55,CHEMBL3218347,9
IC50,8.28,CHEMBL53203,9
IC50,7.30,CHEMBL372112,9
IC50,8.393333333333333333333333333,CHEMBL4098967,9
IC50,6.05,CHEMBL4435619,9
IC50,7.023333333333333333333333333,CHEMBL4082763,9
IC50,4.64,CHEMBL483108,9
IC50,8.00,CHEMBL300791,9
IC50,8.12,CHEMBL49986,9
IC50,7.745,CHEMBL4290869,9
IC50,8.65,CHEMBL312818,9
IC50,8.885,CHEMBL3663927,9
IC50,6.29,CHEMBL2048790,9
IC50,4.62,CHEMBL2047248,9
IC50,6.425,CHEMBL4067373,9
IC50,7.045,CHEMBL3786098,9
IC50,7.34,CHEMBL3958482,9
IC50,8.68,CHEMBL3622665,9
IC50,7.46,CHEMBL54067,9
IC50,8.293333333333333333333333333,CHEMBL4071012,9
IC50,6.57,CHEMBL4210100,9
IC50,7.75,CHEMBL193159,9
IC50,6.25,CHEMBL592480,9
IC50,5.97,CHEMBL1958212,9
IC50,6.32,CHEMBL2029442,9
IC50,6.25,CHEMBL3612570,9
IC50,9.55,CHEMBL128468,9
IC50,5.89,CHEMBL4079506,9
IC50,7.75,CHEMBL122182,9
IC50,6.75,CHEMBL4648924,9
IC50,6.98,CHEMBL4278997,9
IC50,5.99,CHEMBL247866,9
IC50,5.17,CHEMBL2029692,9
IC50,6.96,CHEMBL3344219,9
IC50,7.85,CHEMBL3676362,9
IC50,7.853333333333333333333333333,CHEMBL4129138,9
IC50,6.04,CHEMBL4463563,9
IC50,6.16,CHEMBL195204,9
IC50,6.62,CHEMBL1958215,9
IC50,6.74,CHEMBL3416608,9
IC50,5.08,CHEMBL4079829,9
IC50,7.17,CHEMBL69358,9
IC50,8.19,CHEMBL3357645,9
IC50,8.64,CHEMBL4060320,9
IC50,7.85,CHEMBL1914674,9
IC50,6.725,CHEMBL3919271,9
IC50,5.00,CHEMBL47173,9
IC50,6.01,CHEMBL4473887,9
IC50,4.73,CHEMBL3982407,9
IC50,6.19,CHEMBL3263373,9
IC50,5.73,CHEMBL590526,9
IC50,6.856666666666666666666666667,CHEMBL4463766,9
IC50,4.92,CHEMBL1812491,9
IC50,6.06,CHEMBL3671547,9
IC50,4.815,CHEMBL291986,9
IC50,6.945,CHEMBL4283097,9
IC50,8.00,CHEMBL4473768,9
IC50,8.31,CHEMBL3355887,9
IC50,5.44,CHEMBL2424794,9
IC50,9.00,CHEMBL3655338,9
IC50,6.05,CHEMBL4207316,9
IC50,6.76,CHEMBL192737,9
IC50,6.57,CHEMBL3347488,9
IC50,9.74,CHEMBL166093,9
IC50,5.32,CHEMBL484108,9
IC50,4.40,CHEMBL312451,9
IC50,5.07,CHEMBL3891774,9
IC50,7.08,CHEMBL604094,9
IC50,5.85,CHEMBL3604915,9
IC50,7.25,CHEMBL92985,9
IC50,6.41,CHEMBL1242853,9
IC50,7.565,CHEMBL3813728,9
IC50,7.15,CHEMBL414220,9
IC50,7.25,CHEMBL383499,9
IC50,8.18,CHEMBL4534611,9
IC50,6.89,CHEMBL120319,9
IC50,6.01,CHEMBL4084996,9
IC50,5.91,CHEMBL590875,9
IC50,4.55,CHEMBL291313,9
IC50,7.62,CHEMBL2425083,9
IC50,8.27,CHEMBL126384,9
IC50,5.07,CHEMBL3604938,9
IC50,4.68,CHEMBL79808,9
IC50,8.16,CHEMBL4476544,9
IC50,6.10,CHEMBL2385975,9
IC50,5.645,CHEMBL599218,9
IC50,8.30,CHEMBL248392,9
IC50,5.14,CHEMBL599524,9
IC50,4.66,CHEMBL1828882,9
IC50,6.64,CHEMBL3759015,9
IC50,8.30,CHEMBL3357655,9
IC50,8.43,CHEMBL1914653,9
IC50,5.04,CHEMBL1240544,9
IC50,7.135,CHEMBL3806170,9
IC50,7.12,CHEMBL461114,9
IC50,8.52,CHEMBL3355873,9
IC50,7.52,CHEMBL524457,9
IC50,8.62,CHEMBL3622675,9
IC50,5.05,CHEMBL48802,9
IC50,5.96,CHEMBL3759830,9
IC50,7.15,CHEMBL299672,9
IC50,5.47,CHEMBL2424795,9
IC50,7.84,CHEMBL3114687,9
IC50,5.72,CHEMBL424252,9
IC50,5.48,CHEMBL103860,9
IC50,6.285,CHEMBL93173,9
IC50,7.155,CHEMBL4173696,9
IC50,6.98,CHEMBL14952,9
IC50,5.74,CHEMBL1821864,9
IC50,5.66,CHEMBL1242114,9
IC50,9.16,CHEMBL4471491,9
IC50,5.575,CHEMBL3604919,9
IC50,6.88,CHEMBL4072928,9
IC50,8.82,CHEMBL489897,9
IC50,6.82,CHEMBL178958,9
IC50,5.75,CHEMBL55379,9
IC50,9.11,CHEMBL491676,9
IC50,8.49,CHEMBL4287141,9
IC50,6.49,CHEMBL3676356,9
IC50,4.24,CHEMBL47966,9
IC50,5.10,CHEMBL333041,9
IC50,5.99,CHEMBL1812560,9
IC50,8.84,CHEMBL2031306,9
IC50,9.00,CHEMBL3655342,9
IC50,7.545,CHEMBL4125940,9
IC50,6.48,CHEMBL414631,9
IC50,7.89,CHEMBL3759963,9
IC50,7.25,CHEMBL4162882,9
IC50,6.90,CHEMBL3671530,9
IC50,4.96,CHEMBL1257795,9
IC50,4.36,CHEMBL314146,9
IC50,6.78,CHEMBL3092309,9
IC50,5.46,CHEMBL132466,9
IC50,6.40,CHEMBL408683,9
IC50,4.82,CHEMBL1241588,9
IC50,8.85,CHEMBL3655344,9
IC50,5.67,CHEMBL3604910,9
IC50,6.48,CHEMBL3940060,9
IC50,6.72,CHEMBL413987,9
IC50,7.68,CHEMBL4515673,9
IC50,5.63,CHEMBL121190,9
IC50,7.463333333333333333333333333,CHEMBL2437458,9
IC50,5.12,CHEMBL1822065,9
IC50,6.33,CHEMBL4062192,9
IC50,5.54,CHEMBL395573,9
IC50,6.92,CHEMBL604042,9
IC50,5.875,CHEMBL2408823,9
IC50,8.18,CHEMBL1914668,9
IC50,7.34,CHEMBL4214588,9
IC50,10.60,CHEMBL174426,9
IC50,8.15,CHEMBL3922182,9
IC50,5.54,CHEMBL116857,9
IC50,4.79,CHEMBL384042,9
IC50,6.00,CHEMBL504173,9
IC50,6.01,CHEMBL589561,9
IC50,4.61,CHEMBL1172947,9
IC50,5.06,CHEMBL611681,9
IC50,5.94,CHEMBL209818,9
IC50,5.533333333333333333333333333,CHEMBL326100,9
IC50,4.72,CHEMBL4634317,9
IC50,6.75,CHEMBL552859,9
IC50,8.00,CHEMBL3893822,9
IC50,5.05,CHEMBL488646,9
IC50,7.75,CHEMBL207009,9
IC50,7.57,CHEMBL3973601,9
IC50,5.00,CHEMBL474267,9
IC50,7.77,CHEMBL3948084,9
IC50,4.61,CHEMBL1829271,9
IC50,8.05,CHEMBL91009,9
IC50,7.58,CHEMBL3612563,9
IC50,7.47,CHEMBL4088135,9
IC50,5.96,CHEMBL143968,9
IC50,4.51,CHEMBL201865,9
IC50,6.435,CHEMBL4453276,9
IC50,8.57,CHEMBL3952157,9
IC50,4.57,CHEMBL1945450,9
IC50,8.07,CHEMBL411243,9
IC50,7.96,CHEMBL1683973,9
IC50,6.915,CHEMBL4082840,9
IC50,6.65,CHEMBL175492,9
IC50,6.97,CHEMBL4284841,9
IC50,5.96,CHEMBL3263968,9
IC50,8.64,CHEMBL51228,9
IC50,4.22,CHEMBL309625,9
IC50,4.70,CHEMBL59812,9
IC50,6.27,CHEMBL3233764,9
IC50,5.19,CHEMBL3915306,9
IC50,7.445,CHEMBL3986103,9
IC50,8.705,CHEMBL136404,9
IC50,7.765,CHEMBL3814694,9
IC50,8.40,CHEMBL4242522,9
IC50,6.53,CHEMBL3403512,9
IC50,9.30,CHEMBL501618,9
IC50,5.60,CHEMBL1242477,9
IC50,5.51,CHEMBL2442327,9
IC50,8.05,CHEMBL3758990,9
IC50,7.84,CHEMBL126372,9
IC50,8.938,CHEMBL2029434,9
IC50,9.30,CHEMBL3758770,9
IC50,5.27,CHEMBL143160,9
IC50,7.77,CHEMBL3671561,9
IC50,7.47,CHEMBL179766,9
IC50,8.00,CHEMBL470011,9
IC50,7.62,CHEMBL3806213,9
IC50,8.37,CHEMBL3655353,9
IC50,6.22,CHEMBL3416630,9
IC50,7.70,CHEMBL255865,9
IC50,9.35,CHEMBL447850,9
IC50,8.96,CHEMBL165788,9
IC50,7.98,CHEMBL2087358,9
IC50,4.18,CHEMBL1910278,9
IC50,5.95,CHEMBL92882,9
IC50,4.30,CHEMBL57553,9
IC50,7.57,CHEMBL4558356,9
IC50,6.23,CHEMBL3893810,9
IC50,5.26,CHEMBL346770,9
IC50,7.045,CHEMBL4451619,9
IC50,8.70,CHEMBL3671496,9
IC50,7.96,CHEMBL4091626,9
IC50,7.65,CHEMBL4087375,9
IC50,8.94,CHEMBL4285217,9
IC50,5.17,CHEMBL604671,9
IC50,6.95,CHEMBL76589,9
IC50,8.384,CHEMBL2029425,9
IC50,7.36,CHEMBL3234747,9
IC50,7.20,CHEMBL204625,9
IC50,4.76,CHEMBL1830267,9
IC50,5.06,CHEMBL1944921,9
IC50,7.68,CHEMBL3676370,9
IC50,7.77,CHEMBL255135,9
IC50,4.775,CHEMBL1947045,9
IC50,7.25,CHEMBL442938,9
IC50,5.48,CHEMBL2325110,9
IC50,6.96,CHEMBL74481,9
IC50,4.92,CHEMBL1945445,9
IC50,7.12,CHEMBL2437482,9
IC50,6.08,CHEMBL169970,9
IC50,5.00,CHEMBL143899,9
IC50,7.54,CHEMBL3671555,9
IC50,7.21,CHEMBL2347231,9
IC50,5.01,CHEMBL3221548,9
IC50,5.52,CHEMBL2348194,9
IC50,6.21,CHEMBL194349,9
IC50,5.67,CHEMBL605337,9
IC50,6.523333333333333333333333333,CHEMBL2437457,9
IC50,8.85,CHEMBL3932784,9
IC50,5.97,CHEMBL210502,9
IC50,7.973333333333333333333333333,CHEMBL2437463,9
IC50,6.695,CHEMBL3901943,9
IC50,7.43,CHEMBL4166069,9
IC50,7.235,CHEMBL4093954,9
IC50,7.03,CHEMBL1934631,9
IC50,8.05,CHEMBL3818062,9
IC50,7.19,CHEMBL4129387,9
IC50,7.19,CHEMBL4453748,9
IC50,6.58,CHEMBL4228018,9
IC50,8.52,CHEMBL125086,9
IC50,7.50,CHEMBL4169489,9
IC50,4.72,CHEMBL1241271,9
IC50,7.08,CHEMBL3805383,9
IC50,7.89,CHEMBL3114688,9
IC50,5.59,CHEMBL3088222,9
IC50,9.05,CHEMBL3357638,9
IC50,6.61,CHEMBL3676391,9
IC50,8.46,CHEMBL3355888,9
IC50,7.31,CHEMBL204420,9
IC50,8.14,CHEMBL4239716,9
IC50,7.96,CHEMBL3908303,9
IC50,7.49,CHEMBL3622625,9
IC50,8.31,CHEMBL4127317,9
IC50,7.335,CHEMBL3647419,9
IC50,8.30,CHEMBL475761,9
IC50,5.62,CHEMBL4468521,9
IC50,6.94,CHEMBL3775536,9
IC50,5.756666666666666666666666667,CHEMBL3741245,9
IC50,6.96,CHEMBL208358,9
IC50,6.985,CHEMBL376967,9
IC50,5.00,CHEMBL345211,9
IC50,7.29,CHEMBL4529521,9
IC50,7.77,CHEMBL3416446,9
IC50,6.96,CHEMBL380454,9
IC50,6.64,CHEMBL593294,9
IC50,5.46,CHEMBL2442319,9
IC50,6.50,CHEMBL3754709,9
IC50,5.11,CHEMBL515598,9
IC50,6.21,CHEMBL598407,9
IC50,7.45,CHEMBL3360615,9
IC50,8.375,CHEMBL4439974,9
IC50,7.655,CHEMBL517907,9
IC50,8.15,CHEMBL57759,9
IC50,6.67,CHEMBL257872,9
IC50,8.57,CHEMBL151593,9
IC50,5.41,CHEMBL4456283,9
IC50,7.87,CHEMBL3921129,9
IC50,5.73,CHEMBL1928886,9
IC50,6.296666666666666666666666667,CHEMBL3237930,9
IC50,5.95,CHEMBL255291,9
IC50,8.42,CHEMBL94431,9
IC50,7.943333333333333333333333333,CHEMBL30432,9
IC50,6.87,CHEMBL3934539,9
IC50,5.53,CHEMBL479,9
IC50,6.42,CHEMBL3968716,9
IC50,8.18,CHEMBL4068839,9
IC50,8.575,CHEMBL4281367,9
IC50,5.30,CHEMBL3233759,9
IC50,6.23,CHEMBL3628800,9
IC50,7.01,CHEMBL3671541,9
IC50,6.28,CHEMBL3823520,9
IC50,8.38,CHEMBL399373,9
IC50,6.78,CHEMBL3786802,9
IC50,6.235,CHEMBL4213519,9
IC50,7.925,CHEMBL297968,9
IC50,6.86,CHEMBL3775046,9
IC50,5.04,CHEMBL4069284,9
IC50,7.22,CHEMBL217536,9
IC50,6.70,CHEMBL432903,9
IC50,6.82,CHEMBL3758749,9
IC50,6.34,CHEMBL3671583,9
IC50,4.74,CHEMBL3237938,9
IC50,7.59,CHEMBL4205392,9
IC50,4.60,CHEMBL1916949,9
IC50,8.185,CHEMBL3910496,9
IC50,8.12,CHEMBL4079861,9
IC50,5.835,CHEMBL426124,9
IC50,4.05,CHEMBL1077068,9
IC50,4.51,CHEMBL334032,9
IC50,7.15,CHEMBL225929,9
IC50,4.00,CHEMBL154911,9
IC50,7.285,CHEMBL449093,9
IC50,6.72,CHEMBL392774,9
IC50,5.55,CHEMBL168266,9
IC50,6.24,CHEMBL3622633,9
IC50,6.34,CHEMBL3934594,9
IC50,5.553333333333333333333333333,CHEMBL326318,9
IC50,7.19,CHEMBL3973862,9
IC50,4.763333333333333333333333333,CHEMBL201511,9
IC50,5.11,CHEMBL3628796,9
IC50,6.87,CHEMBL3622642,9
IC50,5.91,CHEMBL7939,9
IC50,6.70,CHEMBL2325093,9
IC50,9.04,CHEMBL524115,9
IC50,7.55,CHEMBL4435885,9
IC50,7.09,CHEMBL3133752,9
IC50,8.10,CHEMBL56912,9
IC50,5.45,CHEMBL2047018,9
IC50,8.52,CHEMBL80540,9
IC50,8.15,CHEMBL496174,9
IC50,7.385,CHEMBL3808884,9
IC50,7.72,CHEMBL1794063,9
IC50,7.30,CHEMBL393264,9
IC50,5.32,CHEMBL2018750,9
IC50,7.37,CHEMBL4215397,9
IC50,8.225,CHEMBL31622,9
IC50,6.258333333333333333333333333,CHEMBL4520903,9
IC50,7.99,CHEMBL4095439,9
IC50,5.77,CHEMBL143212,9
IC50,6.41,CHEMBL574058,9
IC50,6.72,CHEMBL109631,9
IC50,5.89,CHEMBL4076515,9
IC50,6.05,CHEMBL4166038,9
IC50,6.44,CHEMBL248877,9
IC50,7.6325,CHEMBL541586,9
IC50,7.78,CHEMBL4460151,9
IC50,5.46,CHEMBL1812570,9
IC50,7.31,CHEMBL525725,9
IC50,4.33,CHEMBL345862,9
IC50,4.98,CHEMBL153843,9
IC50,6.50,CHEMBL4163321,9
IC50,7.56,CHEMBL3819553,9
IC50,5.33,CHEMBL2333985,9
IC50,6.92,CHEMBL539102,9
IC50,6.44,CHEMBL257411,9
IC50,7.05,CHEMBL602728,9
IC50,5.66,CHEMBL360209,9
IC50,9.12,CHEMBL447223,9
IC50,5.50,CHEMBL1958037,9
IC50,9.03,CHEMBL3357641,9
IC50,7.70,CHEMBL490093,9
IC50,5.96,CHEMBL194160,9
IC50,5.92,CHEMBL73301,9
IC50,4.13,CHEMBL2029690,9
IC50,7.316666666666666666666666667,CHEMBL4089601,9
IC50,9.77,CHEMBL491083,9
IC50,6.22,CHEMBL53552,9
IC50,7.02,CHEMBL481324,9
IC50,5.96,CHEMBL544074,9
IC50,8.25,CHEMBL53062,9
IC50,7.10,CHEMBL346846,9
